"season","weather","temperature","humidity","windspeed","count"
"spring",1,0.126275,0.44125,0.365671,22
"spring",2,0.119337,0.414583,0.1847,24
"spring",1,0.278412,0.524167,0.129987,33
"spring",1,0.340267,0.542083,0.167908,41
"spring",2,0.247479,0.701667,0.0989,24
"spring",1,0.318826,0.646522,0.187552,36
"spring",2,0.282821,0.8475,0.131221,22
"spring",2,0.381938,0.802917,0.180967,41
"spring",1,0.249362,0.5075,0.378108,32
"spring",2,0.364278,0.716087,0.34913,29
"spring",1,0.275254,0.443333,0.415429,34
"spring",1,0.190038,0.4975,0.220158,33
"spring",2,0.220958,0.45,0.20275,32
"spring",2,0.243058,0.91125,0.110708,24
"spring",1,0.349108,0.835833,0.123767,43
"spring",1,0.294821,0.64375,0.161071,43
"spring",2,0.35605,0.769583,0.0733958,41
"spring",2,0.415383,0.74125,0.342667,35
"spring",1,0.262625,0.400833,0.215792,36
"spring",1,0.381317,0.416667,0.261817,45
"spring",1,0.466538,0.507917,0.189067,46
"spring",2,0.398971,0.672917,0.187187,38
"spring",1,0.309346,0.526667,0.178496,42
"spring",1,0.296426,0.622174,0.1538,38
"spring",1,0.361104,0.49625,0.147379,44
"spring",2,0.266421,0.722917,0.133721,28
"spring",1,0.261988,0.562083,0.194037,38
"spring",2,0.293558,0.54,0.116929,38
"spring",1,0.227913,0.41125,0.167283,34
"spring",2,0.333946,0.50875,0.141179,39
"spring",1,0.351629,0.53125,0.1816,42
"spring",2,0.330162,0.752917,0.091425,30
"spring",1,0.351629,0.634583,0.205846,42
"spring",1,0.295113,0.594348,0.205717,38
"spring",1,0.392667,0.567917,0.234471,48
"spring",1,0.444446,0.554583,0.190913,51
"spring",2,0.410971,0.7375,0.237567,35
"spring",1,0.357954,0.490833,0.268033,43
"spring",1,0.353525,0.395833,0.193417,44
"spring",2,0.34847,0.804783,0.179117,18
"spring",1,0.475371,0.615417,0.226987,50
"spring",2,0.359842,0.657083,0.144904,32
"spring",1,0.241171,0.50625,0.228858,33
"spring",1,0.255042,0.456667,0.200875,40
"spring",1,0.3851,0.513333,0.345779,49
"spring",1,0.524604,0.5675,0.441563,54
"spring",2,0.397083,0.407083,0.4148,46
"spring",1,0.459592,0.489167,0.207713,53
"spring",1,0.542929,0.6175,0.23695,58
"spring",1,0.548617,0.507083,0.115062,63
"spring",1,0.532825,0.579583,0.149883,62
"spring",2,0.436229,0.842083,0.113192,44
"spring",1,0.532821,0.72875,0.162317,62
"spring",1,0.538533,0.807917,0.121271,61
"summer",2,0.513258,0.82125,0.0895583,62
"summer",1,0.531567,0.83125,0.117562,69
"summer",2,0.570067,0.694167,0.1163,84
"summer",1,0.43875,0.477917,0.386821,56
"summer",1,0.315654,0.29,0.187192,51
"summer",1,0.47095,0.48125,0.291671,57
"summer",1,0.482304,0.439167,0.31965,61
"summer",2,0.375621,0.580833,0.138067,55
"summer",1,0.427513,0.504348,0.312139,59
"summer",1,0.461483,0.396667,0.100133,68
"summer",1,0.53345,0.469583,0.180975,64
"summer",1,0.431163,0.374167,0.219529,65
"summer",1,0.390767,0.377083,0.300388,65
"summer",1,0.476638,0.3175,0.358196,56
"summer",1,0.436233,0.435,0.249375,59
"summer",1,0.337274,0.469565,0.295274,49
"summer",1,0.387604,0.46625,0.290429,54
"summer",1,0.431808,0.408333,0.155471,64
"summer",1,0.598487,0.390417,0.273629,67
"summer",2,0.457038,0.569167,0.167912,44
"summer",1,0.493046,0.6125,0.0659292,66
"summer",1,0.515775,0.694583,0.149871,73
"summer",2,0.301125,0.766667,0.303496,32
"summer",1,0.405283,0.454167,0.249383,56
"summer",1,0.470317,0.427917,0.118792,62
"summer",2,0.483583,0.756667,0.176625,50
"summer",1,0.452637,0.400833,0.347633,62
"summer",2,0.457696,0.57,0.171638,56
"summer",2,0.577021,0.659583,0.156096,57
"summer",1,0.537896,0.797083,0.138058,62
"summer",2,0.537242,0.768333,0.133696,64
"summer",1,0.590917,0.735417,0.162938,63
"summer",2,0.527142,0.664167,0.230721,63
"summer",2,0.557471,0.685833,0.296029,57
"summer",2,0.553025,0.744167,0.216412,47
"summer",1,0.491783,0.552083,0.314063,66
"summer",1,0.520833,0.360417,0.236937,70
"summer",2,0.5499,0.789583,0.212692,28
"summer",2,0.576404,0.794583,0.147392,51
"summer",1,0.595975,0.697917,0.122512,74
"summer",1,0.572613,0.52,0.229475,74
"summer",1,0.551121,0.523333,0.136817,76
"summer",2,0.565667,0.81125,0.233204,44
"summer",2,0.580825,0.765833,0.118167,61
"summer",2,0.584612,0.774583,0.102,53
"summer",1,0.6067,0.716667,0.172896,68
"summer",1,0.627529,0.747083,0.14055,67
"summer",1,0.672992,0.684583,0.2954,57
"summer",2,0.611129,0.67,0.134329,69
"summer",1,0.631329,0.492917,0.195279,73
"summer",2,0.607962,0.755417,0.237563,41
"summer",1,0.578283,0.487083,0.284833,70
"summer",2,0.525892,0.613333,0.209575,70
"summer",1,0.542292,0.61125,0.077125,71
"summer",1,0.569442,0.567083,0.15735,75
"summer",1,0.597862,0.467917,0.175383,77
"summer",2,0.659721,0.587917,0.207713,67
"summer",2,0.597875,0.833333,0.214546,50
"summer",1,0.611117,0.582083,0.343279,74
"summer",1,0.624383,0.569583,0.253733,74
"summer",1,0.599754,0.589583,0.176617,77
"summer",2,0.544842,0.777917,0.174746,51
"summer",1,0.654692,0.69,0.148017,68
"summer",1,0.720975,0.592083,0.113812,62
"fall",1,0.752542,0.567917,0.118787,59
"fall",1,0.724121,0.57375,0.182842,58
"fall",1,0.654042,0.504167,0.300383,68
"fall",1,0.594704,0.373333,0.347642,74
