"UrbanRural","Income","Race","Expenditure","KidsCount"
1,73720,1,27542.0001,3
1,12000,1,7415.5,2
1,20000,1,8607.5001,0
1,130500,1,20430.25,0
1,99000,2,10095.1499,0
1,18240,1,9592.75,0
1,164433,1,28575,0
1,35000,1,11115.5001,1
1,24000,1,4331.5,0
1,95000,1,11225.0001,0
1,94439,2,33826.4999,0
1,68291,1,7624.9499,0
1,14424,1,6601,5
1,23580,2,7890.4999,1
1,56000,1,10070.25,0
1,11000,1,5340.5001,0
1,32772,1,6839,0
1,18234,1,4231,0
2,3252,1,8310.75,0
1,61089,1,12180.1499,0
1,208854,1,28479.7833,1
1,96000,1,16724.9999,2
1,145200,1,28593.4977,0
1,42000,1,10319.25,0
2,17210,1,4987,0
1,75002,1,12204.5001,0
1,12000,1,7363,0
1,42702,1,11714,0
1,62000,1,6007.75,0
1,75000,2,9439.5001,0
1,43325,1,9365.9001,0
2,74316,1,20252,0
1,80000,1,14554,2
1,33000,1,15291.2501,1
1,17876,1,5500,0
1,34580,1,7969.7499,2
2,38072,1,13026,0
1,150000,1,15791.5332,0
1,168626,1,38758.0001,2
1,9000,1,5891.85,3
1,73000,2,6866.2501,0
1,56426,1,5653.2501,0
1,18576,1,5014,0
2,22626,1,11407,0
1,108540,1,13178.2,0
1,100000,1,13979.7999,0
1,32476,1,6424.7501,3
2,31000,1,6223.0001,1
1,388086,1,33572.6838,0
1,32684,1,14385,0
1,262500,1,20233.4999,0
1,70000,2,14260.75,1
1,129097,1,13539.5,0
1,210000,4,14354.25,0
1,19470,1,3205.5,0
1,27780,1,5276,0
1,578933,1,86510.5332,2
1,6000,1,3756.75,0
1,14948,1,6218.9501,1
1,52000,1,23598.7833,2
1,15984,1,9678,0
1,109475,1,17549.4999,0
2,16304,1,8270.75,2
1,13840,1,12723,0
1,43000,1,13889.7,0
1,52000,1,8712.2999,1
1,86927,1,14930.5,1
1,373284,1,36450.7832,2
2,40445,2,7304.9501,0
1,32983,1,3548.75,0
1,58326,2,7183,0
1,210906,1,20052.4834,0
1,12414,6,2091,0
1,184233,1,20361.25,0
1,12500,1,3376.0001,0
1,156800,1,43184.5001,3
1,12000,1,65605.8499,2
1,129860,1,14752.25,0
1,312829,4,218447.9665,1
1,2000,1,7653.9999,0
1,26000,1,4801.25,3
1,51176,1,5841,0
1,41980,1,15666.9999,3
1,343084,1,31226.5001,3
1,258200,1,71753.184,1
1,39132,1,16702,0
1,33300,1,7635,0
1,32229,1,41882.2499,0
1,2400,2,725,0
1,126000,1,19973.5332,0
1,25960,1,17288.6333,2
1,68000,1,9054.4999,4
1,32000,1,9488,0
1,11304,2,1247.2501,0
1,79836,1,10376.25,0
2,50000,1,25612.1501,3
1,30000,6,10609.75,0
1,12000,1,4029.3001,0
1,28226,1,6207,0
2,110041,1,14775.0002,0
1,48285,1,13857.7501,0
1,142154,2,18440.7,0
1,38826,1,10566,0
1,110426,1,36978.4501,0
1,67000,1,6284.5001,0
1,79968,1,46184.0499,0
1,21126,2,6135.5,0
1,40000,1,9068,0
1,147100,1,21035.2501,0
1,55000,1,17470.0001,0
1,70000,4,10061.7501,0
1,7200,1,4094,0
1,54915,1,8990.5001,0
1,107010,1,17966,0
1,30000,1,15776.75,0
2,18108,1,3711,0
1,70000,1,21864.75,1
1,16194,1,6090,0
1,1600,2,6258,0
1,80000,1,11432,0
1,37625,1,9198.9999,0
1,89416,1,14444.75,3
1,110000,1,23034.75,3
1,10000,1,1672.2499,0
1,98000,1,20111.7833,0
1,3600,2,5774.95,1
1,67656,1,17673.2501,1
1,43000,1,14246.8499,0
1,2501,1,17537,2
1,180000,5,15681.5,1
1,62876,1,18081.8,0
1,120000,1,6757.2832,0
1,81956,1,9386.1999,0
1,75000,2,10376.5999,0
1,43000,1,13944.2499,0
2,27071,1,4375.6501,0
1,121000,1,16595.5001,0
1,39588,1,8755.2499,0
1,7800,1,6891.5001,4
1,47437,1,10697.25,0
1,109686,1,14103.8,0
1,136,1,19189,0
1,53000,1,8412.3501,0
1,89101,1,17068.7498,1
1,89000,1,14653.7499,1
1,140000,1,26049.5,0
2,17837,1,6324.25,0
1,40328,2,8308.85,0
1,25428,1,11426,0
1,79000,1,14767.7999,1
1,29500,1,11006.4999,0
1,90102,1,12635,0
1,83000,1,11390.5001,1
1,20052,1,20607.75,0
1,29026,1,5809,0
1,15300,1,8633.5,1
1,66372,1,26939,0
1,8500,4,6341.5001,0
1,70000,1,12231.7501,0
1,343084,1,31271.7833,0
1,109200,1,15329.5001,0
1,12132,1,2281,0
2,19446,1,4253,0
1,93670,1,17752.75,0
1,109000,1,15458.1001,2
1,67000,1,14595.5001,3
1,100000,1,43339.3501,0
1,43000,2,9454.7999,0
1,74000,1,12412,0
2,9926,1,4024.05,0
1,143000,1,11684.7499,1
1,4999,4,8735.4999,0
1,228000,1,20180.25,0
1,60000,1,11138.25,0
1,63920,1,13358.5,0
1,44252,6,9633.0499,0
1,62020,1,12965.7001,1
1,9458,2,2014,0
1,97040,1,39873,0
1,90000,1,19246.25,0
1,31700,1,6212.2,0
1,49000,1,16127.4501,0
1,30000,1,7517.75,0
1,128305,1,47609.4952,0
1,345084,1,22825.2832,0
1,49462,1,5734.5,0
1,156000,1,28358.2832,3
1,50000,1,13672.25,0
1,2270,1,9871,0
1,230000,1,64107.783,0
1,13800,1,6116.5,2
1,60000,1,10129.5,0
1,123253,1,23732.5,0
1,110000,1,12529.75,0
1,15210,1,3786,0
1,41906,1,7869,0
1,214474,1,19507.7499,0
1,39372,1,13374,0
1,87000,1,15303.7499,0
2,123600,1,26482.7501,2
1,28700,1,8070.7501,1
1,63000,1,12963.0001,0
1,203000,1,20403.7499,0
1,14822,1,4123,0
1,37626,1,4615.5,0
2,20786,1,9167,0
1,13578,1,10611,0
1,34000,1,8606.8499,0
1,172000,4,26464.5001,1
1,42200,1,7230.15,1
1,78600,1,14732.2499,1
1,95000,1,10337.7501,0
1,9805,1,10868.1499,6
1,14412,6,6278,0
1,18000,1,6351.25,4
1,215000,1,22792,0
1,65000,1,41248.2501,1
1,29000,1,6149,0
1,413084,1,18613.2501,2
1,70000,1,17593.6,0
1,50000,1,8414.4999,0
1,21000,1,5324.7501,0
2,54626,1,8262,0
1,140750,2,25460.7833,2
1,25633,2,7903.0001,0
1,143514,1,32378.5,1
1,31000,4,13909.9499,3
1,63000,1,10145.5999,2
1,12288,1,8743.95,3
1,33107,1,4750.5001,0
1,20000,2,2381.5,0
1,16280,1,6451.25,0
1,87000,1,18293.0502,0
1,36552,1,11685.0001,0
1,45328,4,9927.5001,0
1,48000,1,9794.95,5
1,13107,1,3970,0
2,38556,1,2463.7001,1
1,76400,1,25524.75,0
1,24278,1,9691,0
1,107200,1,13429.75,1
1,24000,4,8614.7,0
1,100000,1,16354.5001,0
1,45600,1,6373.6499,0
1,384334,1,29084.5664,0
1,40050,1,7249,0
1,7200,1,1495.7501,0
1,51000,1,5139.5001,0
1,17958,1,2587,0
1,92000,1,14892.5,0
1,343084,1,20541.5001,0
1,50826,1,10384,0
1,19156,1,9637.1501,0
1,27300,1,28510.2832,0
1,57035,1,12879.2501,0
1,35400,1,12864.2001,0
1,110812,1,13921,0
1,131433,1,11175,0
1,42126,1,26240.5001,0
1,2200,1,4840,0
1,12000,1,4101.7999,0
1,107340,1,12196,0
1,32000,1,7965,0
1,18612,1,6574,0
